PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
0.00,0.00,0.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",10423,AUS,10423,AUS,3,L
0.00,0.00,0.00,5Y,Atlas Air Inc.,Atlas Air Inc.,10194,AFW,10194,AFW,1,P
0.00,0.00,0.00,5Y,Atlas Air Inc.,Atlas Air Inc.,10194,AFW,10194,AFW,4,P
0.00,0.00,0.00,5Y,Atlas Air Inc.,Atlas Air Inc.,10194,AFW,10194,AFW,8,P
0.00,0.00,0.00,5Y,Atlas Air Inc.,Atlas Air Inc.,11982,GRK,11982,GRK,1,L
0.00,0.00,0.00,5Y,Atlas Air Inc.,Atlas Air Inc.,12266,IAH,12266,IAH,6,P
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,1,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,2,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,3,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,4,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,5,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,6,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,7,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,8,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,12266,IAH,12266,IAH,9,F
0.00,0.00,0.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,13061,LRD,13061,LRD,7,F
0.00,0.00,0.00,KLQ,Kalitta Charters II,Kalitta Charters II,13061,LRD,13061,LRD,3,P
0.00,0.00,0.00,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,13061,LRD,13061,LRD,7,P
0.00,0.00,0.00,X9,Omni Air International LLC,Omni Air International LLC,10194,AFW,10194,AFW,1,L
0.00,0.00,0.00,X9,Omni Air International LLC,Omni Air International LLC,10194,AFW,10194,AFW,5,L
0.00,0.00,0.00,X9,Omni Air International LLC,Omni Air International LLC,10194,AFW,10194,AFW,9,L
0.00,0.00,3.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11540,ELP,10615,BIF,6,L
0.00,0.00,3.00,N8,National Air Cargo Group Inc d/ba National Airlines,National Air Cargo Group Inc d/ba National Airlines,10615,BIF,11540,ELP,4,L
0.00,0.00,24.00,UA,United Air Lines Inc.,United Air Lines Inc.,12191,HOU,12266,IAH,5,F
0.00,0.00,24.00,UA,United Air Lines Inc.,United Air Lines Inc.,12191,HOU,12266,IAH,6,F
0.00,0.00,24.00,UA,United Air Lines Inc.,United Air Lines Inc.,12191,HOU,12266,IAH,6,F
0.00,0.00,24.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,12191,HOU,12266,IAH,5,F
0.00,0.00,24.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,12191,HOU,12266,IAH,6,F
0.00,0.00,24.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,12191,HOU,12266,IAH,7,F
0.00,0.00,26.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10747,BRO,12206,HRL,4,L
0.00,0.00,26.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,10747,BRO,4,L
0.00,0.00,29.00,X9,Omni Air International LLC,Omni Air International LLC,10194,AFW,11259,DAL,10,L
0.00,0.00,36.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,13256,MFE,3,L
0.00,0.00,36.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13256,MFE,12206,HRL,3,L
0.00,0.00,36.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",12206,HRL,13256,MFE,8,L
0.00,0.00,36.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,13256,MFE,12206,HRL,7,F
0.00,0.00,52.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",11219,CXO,14792,SGR,3,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,14683,SAT,3,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,14683,SAT,5,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,10423,AUS,2,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,10423,AUS,4,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,10423,AUS,5,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,10423,AUS,9,L
0.00,0.00,66.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,10423,AUS,10,L
0.00,0.00,66.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14683,SAT,10423,AUS,10,L
0.00,0.00,66.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,14683,SAT,6,F
0.00,0.00,66.00,UA,United Air Lines Inc.,United Air Lines Inc.,14683,SAT,10423,AUS,3,F
0.00,0.00,66.00,UA,United Air Lines Inc.,United Air Lines Inc.,14683,SAT,10423,AUS,6,F
0.00,0.00,66.00,YX,Republic Airline,Republic Airline,14683,SAT,10423,AUS,9,F
0.00,0.00,74.00,UA,United Air Lines Inc.,United Air Lines Inc.,11049,CLL,12266,IAH,7,F
0.00,0.00,74.00,UA,United Air Lines Inc.,United Air Lines Inc.,11049,CLL,12266,IAH,9,F
0.00,0.00,74.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11049,CLL,12266,IAH,7,F
0.00,0.00,74.00,YX,Republic Airline,Republic Airline,11049,CLL,12266,IAH,7,F
0.00,0.00,79.00,UA,United Air Lines Inc.,United Air Lines Inc.,10728,BPT,12266,IAH,5,F
0.00,0.00,88.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",10155,ACT,11259,DAL,3,L
0.00,0.00,92.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11049,CLL,12191,HOU,10,L
0.00,0.00,101.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10423,AUS,10155,ACT,2,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11982,GRK,14683,SAT,2,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11982,GRK,14683,SAT,6,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11982,GRK,14683,SAT,7,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11982,GRK,14683,SAT,8,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11982,GRK,14683,SAT,10,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,11982,GRK,8,L
0.00,0.00,112.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,11982,GRK,9,L
0.00,0.00,121.00,KLQ,Kalitta Charters II,Kalitta Charters II,13256,MFE,13061,LRD,5,P
0.00,0.00,121.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",13061,LRD,13256,MFE,8,L
0.00,0.00,121.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",13061,LRD,13256,MFE,9,L
0.00,0.00,123.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,15569,VCT,12266,IAH,9,F
0.00,0.00,126.00,X9,Omni Air International LLC,Omni Air International LLC,10194,AFW,12891,LAW,3,L
0.00,0.00,126.00,X9,Omni Air International LLC,Omni Air International LLC,12891,LAW,10194,AFW,1,L
0.00,0.00,127.00,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge","Western Air Charter, Inc.  d/b/a  Jet Edge",10423,AUS,11453,DWH,9,L
0.00,0.00,127.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,12915,LCH,12266,IAH,5,F
0.00,0.00,129.00,C5,CommuteAir LLC dba CommuteAir,CommuteAir LLC dba CommuteAir,10747,BRO,11140,CRP,5,F
0.00,0.00,135.00,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11140,CRP,14683,SAT,10,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,1,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,4,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,5,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,6,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,7,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,8,F
0.00,0.00,140.00,UA,United Air Lines Inc.,United Air Lines Inc.,10423,AUS,12266,IAH,9,F
0.00,0.00,140.00,YX,Republic Airline,Republic Airline,10423,AUS,12266,IAH,6,F
0.00,0.00,144.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13061,LRD,12206,HRL,1,L
0.00,0.00,146.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11049,CLL,14683,SAT,5,L
0.00,0.00,146.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14683,SAT,11049,CLL,5,L
0.00,0.00,146.00,UA,United Air Lines Inc.,United Air Lines Inc.,14683,SAT,11049,CLL,7,F
0.00,0.00,148.00,UA,United Air Lines Inc.,United Air Lines Inc.,12191,HOU,10423,AUS,6,F
0.00,0.00,150.00,AMQ,Ameristar Air Cargo,Ameristar Air Cargo,14683,SAT,13061,LRD,5,P
0.00,0.00,150.00,AMQ,Ameristar Air Cargo,Ameristar Air Cargo,14683,SAT,13061,LRD,8,P
0.00,0.00,150.00,KLQ,Kalitta Charters II,Kalitta Charters II,13061,LRD,14683,SAT,9,P
0.00,0.00,150.00,KLQ,Kalitta Charters II,Kalitta Charters II,14683,SAT,13061,LRD,6,P
0.00,0.00,150.00,KLQ,Kalitta Charters II,Kalitta Charters II,14683,SAT,13061,LRD,8,P
0.00,0.00,154.00,AMQ,Ameristar Air Cargo,Ameristar Air Cargo,13061,LRD,11415,DRT,3,P
0.00,0.00,154.00,AMQ,Ameristar Air Cargo,Ameristar Air Cargo,13061,LRD,11415,DRT,4,P
0.00,0.00,158.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,DAL,11049,CLL,4,L
0.00,0.00,165.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11049,CLL,11789,FTW,3,L
0.00,0.00,169.00,AMQ,Ameristar Air Cargo,Ameristar Air Cargo,13061,LRD,10747,BRO,1,P
0.00,0.00,169.00,KLQ,Kalitta Charters II,Kalitta Charters II,13061,LRD,10747,BRO,1,P
